time,open,high,low,close,symbol,volume,quote_volume,ÕÇµø·ù,Õñ·ù,ÉÏÕÇ,ÏÂµø,Dc_2,ApzUpper_2,Turtle_2,ÉÏÕÇÊýÁ¿,ÏÂµøÊýÁ¿,ÉÏÕÇ±ÈÀý,rank_Dc_2,rank_ÕÇµø·ù,rank_Õñ·ù,rank_sum,rank
2021-03-08 11:59:00,2.7657,2.7658,2.351,2.4575,TOMO-USDT,28689357.0,71780862.131,-0.11137226541312595,0.14998011353364432,0,1,0.2052407580586675,0.9999999895749742,0.0,27,65,0.29347826086956524,5.0,1.0,6.0,12.0,1.0
2021-10-05 11:59:00,2.5403,2.6673,2.4628,2.4998,TOMO-USDT,13650600.0,34535049.95,-0.015942998858402446,0.08050230287761286,0,1,0.1608506329113924,0.9999999751762606,0.0,116,16,0.8787878787878788,10.0,6.0,23.0,39.0,1.0
2022-03-05 11:59:00,1.3686,1.3696,1.254,1.2596,TOMO-USDT,19348750.0,24943833.841000002,-0.07984513112718239,0.08446587753909099,0,1,0.19885812776042222,0.0,-0.9900361422068703,110,33,0.7692307692307693,4.0,1.0,9.0,14.0,1.0
2021-03-28 11:59:00,76.442,81.79899999999999,69.308,71.375,TRB-USDT,569125.1,42372898.4744,-0.06668846028113751,0.16340493446011337,0,1,0.2364882876848098,0.9999999997365598,0.0,69,32,0.6831683168316832,9.0,1.0,12.0,22.0,1.0
2021-04-21 23:59:00,87.552,97.442,77.256,77.913,TRB-USDT,917334.5,78774160.7016,-0.10955553777757454,0.23056012426900574,0,1,0.23109594843673076,0.9999999997228254,-1.8042537139012718,33,75,0.3055555555555556,6.0,1.0,5.0,12.0,1.0
2021-04-25 11:59:00,64.633,68.032,61.56399999999999,63.317,TRB-USDT,302914.5,19388190.9605,-0.020224684327803888,0.10007271827085241,0,1,0.16367843143490948,0.0,0.0,100,8,0.9259259259259259,7.0,2.0,18.0,27.0,1.0
2021-04-28 23:59:00,92.513,96.269,80.378,82.04299999999999,TRB-USDT,715752.9,62368287.5599,-0.11279927330925466,0.17177045388215714,0,1,0.17991814183088314,0.9999999996572044,-0.5782465230046597,66,42,0.6111111111111112,17.0,1.0,7.0,25.0,1.0
2021-05-05 11:59:00,123.499,135.256,114.144,116.093,TRB-USDT,638777.9,79480455.1208,-0.05951879455605957,0.17094875262147868,0,1,0.36628453225588187,0.0,0.0,105,3,0.9722222222222222,3.0,1.0,10.0,14.0,1.0
2021-05-31 11:59:00,60.04,62.99,53.47,61.66,TRB-USDT,486975.9,28262743.196,0.026810990840965943,0.15856095936042644,1,0,0.18696293724503085,0.9999999995001894,0.21018276734963087,104,7,0.9369369369369369,10.0,26.0,19.0,55.0,1.0
2021-11-16 11:59:00,66.81,66.82,52.89,58.7,TRB-USDT,1414611.8,83992086.123,-0.12152050284345994,0.20850172129920658,0,1,0.29442115446630124,0.9999999998502376,-1.33552631359288,2,135,0.014598540145985401,6.0,1.0,11.0,18.0,1.0
