time,open,high,low,close,symbol,volume,quote_volume,涨跌幅,振幅,上涨,下跌,Dc_2,上涨数量,下跌数量,上涨比例,rank_Dc_2,rank_sum,rank
2021-10-11 14:59:00,0.027004,0.031725,0.026431,0.030944,1000SHIB-USDT,78802364900.0,2285600447.852239,0.1459043104725226,0.19604503036587184,1,0,0.2164390260942468,63,69,0.4772727272727273,1.0,1.0,1.0
2021-10-12 02:59:00,0.030943,0.032194,0.028523,0.030518,1000SHIB-USDT,74330006192.0,2269904740.177874,-0.01376680455015511,0.11863749474840839,0,1,0.19660554371002137,8,124,0.06060606060606061,1.0,1.0,1.0
2021-10-24 02:59:00,0.028265,0.036889,0.02825,0.035151,1000SHIB-USDT,81910316603.0,2739704739.937532,0.24349087307202488,0.3056430214045639,1,0,0.2849975222993062,91,44,0.674074074074074,1.0,1.0,1.0
2021-10-24 14:59:00,0.035148,0.044592,0.035066,0.042374,1000SHIB-USDT,108269029909.0,4339064439.079206,0.20548490796847885,0.271025378399909,1,0,0.44869718019823723,22,113,0.16296296296296298,1.0,1.0,1.0
2021-10-25 02:59:00,0.042375,0.044774,0.032775,0.039112,1000SHIB-USDT,135556995982.0,5276932961.527693,-0.07698116769717278,0.2831622418879057,0,1,0.3094559568788766,110,25,0.8148148148148148,1.0,1.0,1.0
2021-10-25 14:59:00,0.039111,0.041608,0.03755,0.03955,1000SHIB-USDT,50061019222.0,1964082460.405856,0.01119860912252002,0.1037559765794789,1,0,0.3094559568788766,123,12,0.9111111111111111,1.0,1.0,1.0
2021-10-28 14:59:00,0.0838309999999999,0.0886,0.05865,0.0697909999999999,1000SHIB-USDT,165693036836.0,12041157204.7602,-0.16720165149219135,0.3572664050291662,0,1,0.41727104064766407,127,9,0.9338235294117647,1.0,1.0,1.0
2021-11-06 02:59:00,0.054978,0.06511,0.0544679999999999,0.061057,1000SHIB-USDT,91572735177.0,5460480579.214893,0.11075333369717488,0.19356833642548116,1,0,0.3524311044069717,44,92,0.3235294117647059,1.0,1.0,1.0
2021-11-30 14:59:00,0.045938,0.0544,0.0456009999999999,0.051432,1000SHIB-USDT,88222430281.0,4418850108.703567,0.11959597718664283,0.19154077234533717,1,0,0.3346386996405772,103,35,0.7463768115942029,1.0,1.0,1.0
2022-02-07 02:59:00,0.022452,0.029568,0.022192,0.028691,1000SHIB-USDT,56417642944.0,1535201739.396501,0.2778817031890255,0.328523071441297,1,0,0.2850077279752705,136,6,0.9577464788732394,1.0,1.0,1.0
2022-02-07 14:59:00,0.028695,0.0301,0.02705,0.0298209999999999,1000SHIB-USDT,28444977763.0,800836376.677801,0.03938517305077904,0.10629029447638952,1,0,0.3024554425151074,137,5,0.9647887323943662,1.0,1.0,1.0
2021-09-28 14:59:00,0.2327199999999999,0.275,0.225,0.26115,1000XEC-USDT,500282408.0,130409232.83048,0.12312919318768323,0.21485046407700256,1,0,0.20000000000000007,10,122,0.07575757575757576,1.0,1.0,1.0
2021-10-20 14:59:00,0.18037,0.20049,0.17418,0.1925599999999999,1000XEC-USDT,411582583.0,77875957.77488,0.06782010758054624,0.14586682929533737,1,0,0.14044359035951637,130,4,0.9701492537313433,1.0,1.0,1.0
2022-04-03 02:59:00,0.12009,0.1478,0.11592,0.12137,1000XEC-USDT,4423732283.0,580043305.51517,0.010658672662170021,0.26546756599217247,1,0,0.42414302115794644,12,135,0.08163265306122448,1.0,1.0,1.0
2021-01-16 14:59:00,1.3468,1.79,1.3434,1.7441,1INCH-USDT,25326915.0,38219963.4747,0.2950917056508502,0.3316008316008317,1,0,0.4156545209176789,72,7,0.9113924050632911,1.0,1.0,1.0
2021-06-14 14:59:00,2.9561,3.82,2.916,3.72,1INCH-USDT,78002287.0,273223959.9895,0.25828710593965654,0.305808328540983,1,0,0.3221884498480243,105,7,0.9375,1.0,1.0,1.0
2021-06-15 02:59:00,3.72,3.7516,3.4878,3.6181,1INCH-USDT,42008089.0,152224350.043,-0.027392473118279637,0.07091397849462361,0,1,0.2684085510688836,57,55,0.5089285714285714,1.0,1.0,1.0
2021-06-21 02:59:00,2.9276,3.4945,2.9187,3.2805,1INCH-USDT,27536409.0,90302050.6999,0.12012155563902072,0.19667987429976777,1,0,0.21985770550120703,86,27,0.7610619469026548,1.0,1.0,1.0
2021-10-27 14:59:00,3.927,7.796,3.9179,5.5207,1INCH-USDT,347132005.0,2096069763.8029,0.40654777070063686,0.9875477463712758,1,0,0.6723798097523352,6,130,0.04411764705882353,1.0,1.0,1.0
2021-10-28 02:59:00,5.5207,6.1151,5.077,5.1275,1INCH-USDT,112134309.0,626997678.0697,-0.07122285217454294,0.1880377488361983,0,1,0.6621364361997285,18,118,0.1323529411764706,1.0,1.0,1.0
2022-06-28 14:59:00,0.6516,0.8055,0.6485,0.7692,1INCH-USDT,261235145.0,200361807.6913,0.18066001534919418,0.24094536525475757,1,0,0.22898650985818053,150,13,0.9202453987730062,1.0,1.0,1.0
2021-02-04 02:59:00,338.889,468.8730000000001,334.376,414.465,AAVE-USDT,825552.2,323032639.5258,0.22415616176175246,0.3968762633192583,1,0,0.43319170466855667,58,27,0.6823529411764706,1.0,1.0,1.0
2021-02-05 02:59:00,0.02462,0.07416,0.02386,0.0397,AKRO-USDT,2628297873.0,107695853.09982,0.61251015434606,2.0430544272948823,1,0,1.0644628099173554,80,5,0.9411764705882353,1.0,1.0,1.0
2021-02-05 14:59:00,0.03977,0.05977,0.0375,0.05501,AKRO-USDT,2471442524.0,124328124.10432,0.3856423173803527,0.5599698265023887,1,0,1.0263211589471537,78,7,0.9176470588235294,1.0,1.0,1.0
2021-09-09 02:59:00,1.8115,2.1543,1.5853,1.9528,ALGO-USDT,420949563.2,776843753.19942,0.07800165608611653,0.31410433342533817,1,0,0.49513551077136914,103,24,0.8110236220472441,1.0,1.0,1.0
2021-03-16 14:59:00,19.0,25.49,15.564,16.092,ALICE-USDT,4934421.8,94250386.3985,-0.15305263157894744,0.5224210526315789,0,1,0.48355824036634665,85,11,0.8854166666666666,1.0,1.0,1.0
2021-03-17 02:59:00,16.070999999999998,18.88,15.557,17.703,ALICE-USDT,4169867.4,70208717.2112,0.10011185682326618,0.2067699583099993,1,0,0.4839817769873559,34,62,0.3541666666666667,1.0,1.0,1.0
2021-03-18 14:59:00,14.962,19.95,14.962,16.148,ALICE-USDT,7296486.5,129282952.4494,0.07926747760994513,0.33337789065632933,1,0,0.3436123348017621,47,51,0.47959183673469385,1.0,1.0,1.0
2021-04-18 14:59:00,11.365,11.517,5.505,9.423,ALICE-USDT,25888020.4,224846244.2856,-0.1709484427239134,0.5289925208974923,0,1,0.751771441528258,3,104,0.028037383177570093,1.0,1.0,1.0
