candle_begin_time,factor,symbol,µ±ÖÜÆÚÕÇµø·ù,¾»Öµ,±¸×¢,ÕÇµø·ù,Õñ·ù
2021-01-29 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,HNT-USDT,0.0019370164587457772,1.4307493061913128,,-0.1077188477894567,0.1783848935315387
2021-01-30 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,-0.11148305322474317,1.2712450051379223,,-0.0806483930431994,0.5847870060683744
2021-01-30 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.08798573083489236,1.3830964259851888,,-0.2876446614214415,0.4864735247313234
2021-01-31 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.04168173987275714,1.4407462914320435,,-0.1436438733363958,0.4018542884244667
2021-01-31 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,FTM-USDT,0.016232279647314662,1.4641328881353999,,-0.128953421506613,0.2269706968577829
2021-02-01 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,HNT-USDT,0.004855642248984271,1.4712421936451574,,-0.0822094807397237,0.1582728006456819
2021-02-01 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,1INCH-USDT,0.007211005098319623,1.4818513286043955,,-0.0307325259305687,0.1748918798755103
2021-02-02 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,XRP-USDT,0.020574088678963598,1.5123390692481424,,-0.4085045389393216,0.4558050645007167
2021-02-02 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.0035990648554298232,1.5177820756417668,,-0.0428879001004735,0.1898556132847259
2021-02-03 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.008693563125713455,1.530977009927435,,-0.059506313547887,0.120289246279405
2021-02-03 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,LUNA-USDT,0.006352285910503186,1.5407022136169013,,-0.0795397066262012,0.169505033557047
2021-02-04 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,FTM-USDT,0.028742394671640747,1.5849856847121488,,-0.0982831670323906,0.1175006034690851
2021-02-04 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,KAVA-USDT,-0.022614775699267953,1.5491415889658329,,-0.071656469351751,0.1715025712248039
2021-02-05 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.008465218153375309,1.562255410466895,,-0.0228631727048873,0.274244332493701
2021-02-05 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.007981050005005041,1.574723849018421,,-0.1289833655412831,0.2099050794793565
2021-02-06 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,AKRO-USDT,0.020435949567486844,1.6069048261796801,,-0.1705558717510908,0.3510900473933648
2021-02-06 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,FTM-USDT,0.004014810354764142,1.6133562443149467,,-0.1700210674583659,0.2581207800810711
2021-02-07 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,ZRX-USDT,0.007598604630619565,1.6256155005438373,,-0.0273249599144841,0.1057762938230384
2021-02-07 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,ALPHA-USDT,0.023180387851270856,1.6632978983434812,,-0.0802922998737684,0.1876832604386784
2021-02-08 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,SXP-USDT,-0.02806776792468091,1.6166128389431669,,-0.0647761893602062,0.1555472263868065
2021-02-08 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.03776300425711265,1.6776609964622806,,-0.0364603357682942,0.1941048314750736
2021-02-09 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,EGLD-USDT,-0.10498405562677582,1.5015333410868124,,-0.1160910227449549,0.1992643110299645
2021-02-09 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,LUNA-USDT,-0.058701202642049366,1.413391528157882,,-0.0658436213991768,0.1818072247666929
2021-02-10 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,DOGE-USDT,0.008618875392572223,1.425573373619992,,-0.1204321018597424,0.2199596496284507
2021-02-10 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,EGLD-USDT,0.019055060700138737,1.4527377607868226,,-0.0828597327466796,0.2378800077453809
2021-02-11 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,MATIC-USDT,0.02136329067372178,1.483773019843203,,-0.1185617841159069,0.2623995146367361
2021-02-11 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,AVAX-USDT,0.02012490121276156,1.5136338052897085,,-0.1177281434596082,0.1612560746026882
2021-02-12 00:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,EGLD-USDT,0.008195189703147365,1.5260383214651545,,-0.1200661545975225,0.2078425715823285
2021-02-12 12:00:00,ÕÇµø·ùTrue+Õñ·ùFalse,SKL-USDT,0.020711193551729234,1.5576443965083753,,-0.078443804034582,0.1523190240534011
